Metropolitan Area,Serious thoughts of suicide: Percent (CI),Made any suicide plans: Percent (CI),Attempted Suicide: Percent (CI)
Total U.S.,4.0 (3.8-4.1),1.1 (1.1-1.2),0.5 (0.5-0.6)
"Albuquerque, NM",4.2 (3.0-5.8),1.1 (0.6-2.1),0.2 (0.1-0.5)*
"Atlanta-Sandy Springs-Marietta, GA",3.4 (2.4-4.8),0.4 (0.2-0.7)*,0.3 (0.1-0.7)
"Baltimore-Towson, MD",3.9 (2.7-5.6),1.0 (0.5-1.7),0.5 (0.2-1.1)
"Boston-Cambridge-Quincy, MA-NH",4.4 (3.3-5.8),1.0 (0.7-1.6),0.5 (0.3-1.0)
"Chicago-Joliet-Naperville, IL-IN-WI",2.9 (2.4-3.6)*,0.9 (0.6-1.2),0.4 (0.2-0.7)
"Cleveland-Elyria-Mentor, OH",4.7 (3.3-6.5),1.4 (0.8-2.6),0.5 (0.2-0.9)
"Dallas-Fort Worth-Arlington, TX",3.0 (2.2-4.0)*,0.8 (0.5-1.3),0.6 (0.3-1.2)
"Denver-Aurora-Broomfield, CO",4.4 (3.0-6.5),1.1 (0.5-2.3),0.4 (0.1-1.4)
"Detroit-Warren-Livonia, MI",4.0 (3.2-5.0),1.2 (0.8-1.8),0.4 (0.2-0.8)
"Honolulu, HI",3.4 (2.4-4.7),1.3 (0.8-2.1),1.0 (0.5-2.1)
"Houston-Sugar Land-Baytown, TX",3.5 (2.6-4.8),0.7 (0.4-1.1)*,0.3 (0.2-0.6)*
"Kansas City, MO-KS",3.7 (2.3-5.9),0.8 (0.4-1.5),0.5 (0.2-1.0)
"Las Vegas-Paradise, NV",4.1 (3.0-5.5),1.4 (0.8-2.2),0.4 (0.2-0.9)
"Los Angeles-Long Beach-Santa Ana, CA",3.7 (2.9-4.7),0.7 (0.5-1.1)*,0.5 (0.3-0.8)
"Manchester-Nashua, NH",4.7 (2.9-7.3),1.9 (0.8-4.6),0.5 (0.3-0.8)
"Miami-Fort Lauderdale-Pompano Beach, FL",2.5 (1.8-3.4)*,0.7 (0.4-1.3),0.4 (0.2-0.9)
"Minneapolis-St. Paul-Bloomington, MN-WI",4.8 (3.5-6.5),1.8 (1.0-3.1),0.5 (0.2-1.0)
"Nashville-Davidson--Murfreesboro--Franklin, TN",6.2 (4.0-9.5),1.6 (0.7-3.7),0.8 (0.2-2.9)
"New Orleans-Metairie-Kenner, LA",6.6 (3.6-11.7),2.1 (0.9-4.9),0.9 (0.3-2.8)
"New York-Northern New Jersey-Long Island, NY-NJ-PA",3.4 (2.9-4.1),0.8 (0.6-1.2)*,0.5 (0.3-0.8)
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0 (3.0-5.4),0.8 (0.5-1.2),0.3 (0.2-0.5)*
"Phoenix-Mesa-Glendale, AZ",4.5 (3.2-6.4),1.7 (1.2-2.6),0.9 (0.6-1.4)
"Pittsburgh, PA",3.7 (2.6-5.2),0.8 (0.4-1.4),0.4 (0.2-1.0)
"Portland-Vancouver-Hillsboro, OR-WA",5.2 (3.8-7.1),1.8 (0.9-3.5),0.3 (0.1-0.6)*
"Raleigh-Durham-Cary, NC",3.9 (2.4-6.2),1.5 (0.7-3.5),0.6 (0.1-2.1)
"Salt Lake City, UT",5.6 (3.9-8.1),1.4 (0.8-2.5),0.6 (0.2-1.6)
"San Diego-Carlsbad-San Marcos, CA",4.4 (2.6-7.5),1.5 (0.7-3.3),0.3 (0.1-0.8)
"San Francisco-Oakland-Fremont, CA",3.7 (2.6-5.2),1.0 (0.6-1.7),0.7 (0.3-1.5)
"Seattle-Tacoma-Bellevue, WA",4.5 (3.3-6.1),1.2 (0.6-2.4),0.6 (0.2-1.7)
"St. Louis, MO-IL",3.4 (2.3-5.1),1.0 (0.5-1.7),0.7 (0.3-1.4)
"Tampa-St. Petersburg-Clearwater, FL",3.4 (2.5-4.7),1.1 (0.6-2.3),0.4 (0.2-1.0)
"Tulsa, OK",3.0 (1.7-5.5),0.6 (0.2-2.3),0.5 (0.1-2.0)
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.1 (2.3-4.2),1.0 (0.6-1.7),0.5 (0.3-1.0)